backend,phase,t,iteration,bx,tx,expected_small_block_cols_64,actual_small_block_cols_32,expected_blkX_64,actual_blkX_32,expected_blkXmax_64,actual_blkXmax_32,expected_xidx_64,actual_xidx_32,validXmin,validXmax,isValid,computed,final_write_executed,final_write_index,final_write_value
nvidia,injected,0,999,10,160,-1748,2147481900,-18480,-18480,-18231,-18231,-18320,-18320,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,161,-1748,2147481900,-18480,-18480,-18231,-18231,-18319,-18319,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,162,-1748,2147481900,-18480,-18480,-18231,-18231,-18318,-18318,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,163,-1748,2147481900,-18480,-18480,-18231,-18231,-18317,-18317,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,164,-1748,2147481900,-18480,-18480,-18231,-18231,-18316,-18316,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,165,-1748,2147481900,-18480,-18480,-18231,-18231,-18315,-18315,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,166,-1748,2147481900,-18480,-18480,-18231,-18231,-18314,-18314,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,167,-1748,2147481900,-18480,-18480,-18231,-18231,-18313,-18313,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,168,-1748,2147481900,-18480,-18480,-18231,-18231,-18312,-18312,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,169,-1748,2147481900,-18480,-18480,-18231,-18231,-18311,-18311,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,170,-1748,2147481900,-18480,-18480,-18231,-18231,-18310,-18310,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,171,-1748,2147481900,-18480,-18480,-18231,-18231,-18309,-18309,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,172,-1748,2147481900,-18480,-18480,-18231,-18231,-18308,-18308,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,173,-1748,2147481900,-18480,-18480,-18231,-18231,-18307,-18307,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,174,-1748,2147481900,-18480,-18480,-18231,-18231,-18306,-18306,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,175,-1748,2147481900,-18480,-18480,-18231,-18231,-18305,-18305,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,176,-1748,2147481900,-18480,-18480,-18231,-18231,-18304,-18304,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,177,-1748,2147481900,-18480,-18480,-18231,-18231,-18303,-18303,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,178,-1748,2147481900,-18480,-18480,-18231,-18231,-18302,-18302,18480,249,0,0,0,-1,0
