trace_case_id,benchmark,old_site_id,fresh_site_id,bit_index,trial1_result,trial2_result,trial1_exit_code,trial2_exit_code,trial1_match_golden,trial2_match_golden,reproducible
TRACE001,colorwheel,141,65,2,SDC,SDC,0,0,0,0,1
TRACE002,colorwheel,141,65,6,SDC,SDC,0,0,0,0,1
TRACE003,colorwheel,145,67,2,SDC,SDC,0,0,0,0,1
TRACE004,colorwheel,147,68,0,SDC,SDC,0,0,0,0,1
TRACE005,colorwheel,149,69,0,SDC,SDC,0,0,0,0,1
TRACE006,colorwheel,149,69,4,SDC,SDC,0,0,0,0,1
TRACE007,colorwheel,293,139,2,SDC,SDC,0,0,0,0,1
TRACE008,colorwheel,295,140,7,SDC,SDC,0,0,0,0,1
TRACE009,colorwheel,115,52,1,SDC,SDC,0,0,0,0,1
TRACE010,randomAccess,320,151,1,SDC,SDC,1,1,0,0,1
TRACE011,randomAccess,320,151,2,SDC,SDC,1,1,0,0,1
TRACE012,randomAccess,139,64,0,SDC,SDC,1,1,0,0,1
TRACE013,randomAccess,137,63,7,MASKED,MASKED,0,0,1,1,1
TRACE014,randomAccess,137,63,8,MASKED,MASKED,0,0,1,1,1
TRACE015,randomAccess,249,116,0,SDC,SDC,1,1,0,0,1
TRACE016,randomAccess,243,113,0,SDC,SDC,1,1,0,0,1
TRACE017,randomAccess,243,113,1,SDC,SDC,1,1,0,0,1
TRACE018,randomAccess,247,115,63,SDC,SDC,1,1,0,0,1
TRACE019,randomAccess,253,118,0,SDC,SDC,1,1,0,0,1
TRACE020,randomAccess,253,118,1,SDC,SDC,1,1,0,0,1
TRACE021,randomAccess,245,114,0,SDC,SDC,1,1,0,0,1
TRACE022,randomAccess,245,114,1,SDC,SDC,1,1,0,0,1
TRACE023,randomAccess,255,119,0,SDC,SDC,1,1,0,0,1
TRACE024,randomAccess,255,119,1,SDC,SDC,1,1,0,0,1
TRACE025,randomAccess,129,59,0,SDC,SDC,1,1,0,0,1
