bench,site_id,bit_index,trial,result,opcode,site_class,source_line,source_column,mutated_ir_instruction,mutated_value,first_direct_consumer,consumer_class,use_chain_csv,use_chain_count,compare_status,first_mismatch,mismatch_interpretation,mismatch_element,golden_value,candidate_value,spv_artifacts,postlink_artifacts,due_reason,trace_dir
matrix-rotate,17,31,1,DUE,load,base,83,23,"%fi_flip = xor i32 %51, -2147483648 || store i32 %fi_flip, ptr addrspace(4) %21, align 4",%fi_flip,"store i32 %fi_flip, ptr addrspace(4) %21, align 4",store_data,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/mechanism_addendum/SUP001_matrix-rotate_site17_bit31_trial1_use_chain.csv,1,no_dump,,no_dump,,,,postlink_0.spv,postlink.table|postlink_0.bc|postlink_0.prop|postlink_0.spv|postlink_0.sym|postlink_0.wrapper.bc,signal_or_crash_gpu_fault,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP001_matrix-rotate_site17_bit31_trial1
matrix-rotate,17,31,2,DUE,load,base,83,23,"%fi_flip = xor i32 %51, -2147483648 || store i32 %fi_flip, ptr addrspace(4) %21, align 4",%fi_flip,"store i32 %fi_flip, ptr addrspace(4) %21, align 4",store_data,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/mechanism_addendum/SUP001_matrix-rotate_site17_bit31_trial2_use_chain.csv,1,no_dump,,no_dump,,,,postlink_0.spv,postlink.table|postlink_0.bc|postlink_0.prop|postlink_0.spv|postlink_0.sym|postlink_0.wrapper.bc,signal_or_crash_gpu_fault,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP001_matrix-rotate_site17_bit31_trial2
matrix-rotate,17,13,1,SDC,load,base,83,23,"%fi_flip = xor i32 %51, 8192 || store i32 %fi_flip, ptr addrspace(4) %21, align 4",%fi_flip,"store i32 %fi_flip, ptr addrspace(4) %21, align 4",store_data,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/mechanism_addendum/SUP002_matrix-rotate_site17_bit13_trial1_use_chain.csv,1,fail,0,"matrix_rotate_int32[row=0,col=0,byte_offset=0]",0,1287567166,0,postlink_0.spv,postlink.table|postlink_0.bc|postlink_0.prop|postlink_0.spv|postlink_0.sym|postlink_0.wrapper.bc,,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP002_matrix-rotate_site17_bit13_trial1
matrix-rotate,17,13,2,SDC,load,base,83,23,"%fi_flip = xor i32 %51, 8192 || store i32 %fi_flip, ptr addrspace(4) %21, align 4",%fi_flip,"store i32 %fi_flip, ptr addrspace(4) %21, align 4",store_data,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/mechanism_addendum/SUP002_matrix-rotate_site17_bit13_trial2_use_chain.csv,1,fail,0,"matrix_rotate_int32[row=0,col=0,byte_offset=0]",0,1287567166,0,postlink_0.spv,postlink.table|postlink_0.bc|postlink_0.prop|postlink_0.spv|postlink_0.sym|postlink_0.wrapper.bc,,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP002_matrix-rotate_site17_bit13_trial2
layout,16,0,1,MASKED,add,base,49,9,"%fi_flip = xor i32 %53, 1 || store i32 %fi_flip, ptr addrspace(4) %22, align 4",%fi_flip,"store i32 %fi_flip, ptr addrspace(4) %22, align 4",store_data,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/mechanism_addendum/SUP003_layout_site16_bit0_trial1_use_chain.csv,1,pass,,exact_match,,,,postlink_0.spv|postlink_1.spv,postlink.table|postlink_0.bc|postlink_0.prop|postlink_0.spv|postlink_0.sym|postlink_0.wrapper.bc|postlink_1.bc|postlink_1.prop|postlink_1.spv|postlink_1.sym|postlink_1.wrapper.bc,,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP003_layout_site16_bit0_trial1
layout,16,0,2,MASKED,add,base,49,9,"%fi_flip = xor i32 %53, 1 || store i32 %fi_flip, ptr addrspace(4) %22, align 4",%fi_flip,"store i32 %fi_flip, ptr addrspace(4) %22, align 4",store_data,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/mechanism_addendum/SUP003_layout_site16_bit0_trial2_use_chain.csv,1,pass,,exact_match,,,,postlink_0.spv|postlink_1.spv,postlink.table|postlink_0.bc|postlink_0.prop|postlink_0.spv|postlink_0.sym|postlink_0.wrapper.bc|postlink_1.bc|postlink_1.prop|postlink_1.spv|postlink_1.sym|postlink_1.wrapper.bc,,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP003_layout_site16_bit0_trial2
dense-embedding,192,0,1,SDC,add,base,89,54,"%fi_flip = xor i32 %110, 1 || %111 = sext i32 %fi_flip to i64",%fi_flip,%111 = sext i32 %fi_flip to i64,other,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/mechanism_addendum/SUP010_dense-embedding_site192_bit0_trial1_use_chain.csv,10,fail,61440016,"dense_embedding_float_or_int32_element[15360004],byte_offset=61440016",15360004,-0.9157616496086121,-0.5593910217285156,postlink_0.spv|postlink_1.spv|postlink_2.spv,postlink.table|postlink_0.bc|postlink_0.prop|postlink_0.spv|postlink_0.sym|postlink_0.wrapper.bc|postlink_1.bc|postlink_1.prop|postlink_1.spv|postlink_1.sym|postlink_1.wrapper.bc|postlink_2.bc|postlink_2.prop|postlink_2.spv|postlink_2.sym|postlink_2.wrapper.bc,,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP010_dense-embedding_site192_bit0_trial1
dense-embedding,192,0,2,SDC,add,base,89,54,"%fi_flip = xor i32 %110, 1 || %111 = sext i32 %fi_flip to i64",%fi_flip,%111 = sext i32 %fi_flip to i64,other,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/mechanism_addendum/SUP010_dense-embedding_site192_bit0_trial2_use_chain.csv,10,fail,61440016,"dense_embedding_float_or_int32_element[15360004],byte_offset=61440016",15360004,-0.9157616496086121,-0.5593910217285156,postlink_0.spv|postlink_1.spv|postlink_2.spv,postlink.table|postlink_0.bc|postlink_0.prop|postlink_0.spv|postlink_0.sym|postlink_0.wrapper.bc|postlink_1.bc|postlink_1.prop|postlink_1.spv|postlink_1.sym|postlink_1.wrapper.bc|postlink_2.bc|postlink_2.prop|postlink_2.spv|postlink_2.sym|postlink_2.wrapper.bc,,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP010_dense-embedding_site192_bit0_trial2
entropy,26,0,1,DUE,add,base,69,34,"%fi_flip = xor i32 %89, 1 || store i32 %fi_flip, ptr addrspace(4) %32, align 4",%fi_flip,"store i32 %fi_flip, ptr addrspace(4) %32, align 4",store_data,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/mechanism_addendum/SUP006_entropy_site26_bit0_trial1_use_chain.csv,1,no_dump,,no_dump,,,,postlink_0.spv|postlink_1.spv,postlink.table|postlink_0.bc|postlink_0.prop|postlink_0.spv|postlink_0.sym|postlink_0.wrapper.bc|postlink_1.bc|postlink_1.prop|postlink_1.spv|postlink_1.sym|postlink_1.wrapper.bc,timeout,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP006_entropy_site26_bit0_trial1
entropy,26,0,2,DUE,add,base,69,34,"%fi_flip = xor i32 %89, 1 || store i32 %fi_flip, ptr addrspace(4) %32, align 4",%fi_flip,"store i32 %fi_flip, ptr addrspace(4) %32, align 4",store_data,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/mechanism_addendum/SUP006_entropy_site26_bit0_trial2_use_chain.csv,1,no_dump,,no_dump,,,,postlink_0.spv|postlink_1.spv,postlink.table|postlink_0.bc|postlink_0.prop|postlink_0.spv|postlink_0.sym|postlink_0.wrapper.bc|postlink_1.bc|postlink_1.prop|postlink_1.spv|postlink_1.sym|postlink_1.wrapper.bc,timeout,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP006_entropy_site26_bit0_trial2
