screen_id,screen_kind,bench,original_site_id,bit_index,site_id,site_class,opcode,type_kind,bitwidth,operand_index,function,source_file,source_line,source_column,signature_ordinal,semantic_key
SUP001,DUE,matrix-rotate,16,31,16,result,load,int,32,-1,_Z22rotate_matrix_parallelPfi,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/matrix-rotate-cuda/main.cu,12,24,7,_Z22rotate_matrix_parallelPfi|result|load|int|32|-1|/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/matrix-rotate-cuda/main.cu|12|24|7
SUP002,DUE,matrix-rotate,16,13,16,result,load,int,32,-1,_Z22rotate_matrix_parallelPfi,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/matrix-rotate-cuda/main.cu,12,24,7,_Z22rotate_matrix_parallelPfi|result|load|int|32|-1|/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/matrix-rotate-cuda/main.cu|12|24|7
SUP003,DUE,layout,14,0,14,result,add,int,32,-1,_Z9AoSKernelILi4096EEvPK9AppleTreePi,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/layout-cuda/main.cu,48,9,2,_Z9AoSKernelILi4096EEvPK9AppleTreePi|result|add|int|32|-1|/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/layout-cuda/main.cu|48|9|2
SUP004,DUE,dense-embedding,44,11,44,result,add,int,32,-1,_Z11dense_esuhmIfEvPKT_S2_PS0_iPKi,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/dense-embedding-cuda/main.cu,42,63,5,_Z11dense_esuhmIfEvPKT_S2_PS0_iPKi|result|add|int|32|-1|/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/dense-embedding-cuda/main.cu|42|63|5
SUP005,DUE,dense-embedding,47,7,47,result,add,int,32,-1,_Z11dense_esuhmIfEvPKT_S2_PS0_iPKi,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/dense-embedding-cuda/main.cu,40,48,6,_Z11dense_esuhmIfEvPKT_S2_PS0_iPKi|result|add|int|32|-1|/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/dense-embedding-cuda/main.cu|40|48|6
SUP006,DUE,entropy,22,0,22,result,add,int,32,-1,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/entropy-cuda/main.cu,20,28,3,_Z7entropyPfPKcii|result|add|int|32|-1|/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/entropy-cuda/main.cu|20|28|3
SUP007,DUE,entropy,18,0,18,result,icmp,int,1,-1,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/entropy-cuda/main.cu,20,21,3,_Z7entropyPfPKcii|result|icmp|int|1|-1|/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/entropy-cuda/main.cu|20|21|3
SUP008,SDC_MASKED,matrix-rotate,9,0,9,result,icmp,int,1,-1,_Z22rotate_matrix_parallelPfi,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/matrix-rotate-cuda/main.cu,9,13,1,_Z22rotate_matrix_parallelPfi|result|icmp|int|1|-1|/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/matrix-rotate-cuda/main.cu|9|13|1
SUP009,SDC_MASKED,layout,31,12,31,result,load,int,32,-1,_Z9SoAKernelILi4096EEvPK13ApplesOnTreesPi,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/layout-cuda/main.cu,62,12,4,_Z9SoAKernelILi4096EEvPK13ApplesOnTreesPi|result|load|int|32|-1|/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/layout-cuda/main.cu|62|12|4
SUP010,SDC_MASKED,dense-embedding,128,0,128,result,add,int,32,-1,_Z12dense_esuhm3IfEvPKT_S2_PS0_iPKi,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/dense-embedding-cuda/main.cu,85,20,5,_Z12dense_esuhm3IfEvPKT_S2_PS0_iPKi|result|add|int|32|-1|/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/dense-embedding-cuda/main.cu|85|20|5
SUP011,SDC_MASKED,entropy,60,10,60,result,sext,int,32,-1,_Z7entropyPfPKcii,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/entropy-cuda/main.cu,38,7,1,_Z7entropyPfPKcii|result|sext|int|32|-1|/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/entropy-cuda/main.cu|38|7|1
